hotel_name,rating,count
Hilton Boston Back Bay,Excellent,856
Hilton Boston Back Bay,Very good,938
Hilton Boston Back Bay,Average,397
Hilton Boston Back Bay,Poor,137
Hilton Boston Back Bay,Terrible,59
Boston Park Plaza,Excellent,440
Boston Park Plaza,Very good,348
Boston Park Plaza,Average,168
Boston Park Plaza,Poor,79
Boston Park Plaza,Terrible,38
Hilton Boston Downtown / Faneuil Hall,Excellent,585
Hilton Boston Downtown / Faneuil Hall,Very good,586
Hilton Boston Downtown / Faneuil Hall,Average,257
Hilton Boston Downtown / Faneuil Hall,Poor,91
Hilton Boston Downtown / Faneuil Hall,Terrible,65
DoubleTree Club by Hilton Hotel Boston Bayside,Excellent,424
DoubleTree Club by Hilton Hotel Boston Bayside,Very good,478
DoubleTree Club by Hilton Hotel Boston Bayside,Average,284
DoubleTree Club by Hilton Hotel Boston Bayside,Poor,105
DoubleTree Club by Hilton Hotel Boston Bayside,Terrible,54
Embassy Suites by Hilton Boston - at Logan Airport,Excellent,722
Embassy Suites by Hilton Boston - at Logan Airport,Very good,709
Embassy Suites by Hilton Boston - at Logan Airport,Average,349
Embassy Suites by Hilton Boston - at Logan Airport,Poor,109
Embassy Suites by Hilton Boston - at Logan Airport,Terrible,72
Hilton Boston Logan Airport,Excellent,997
Hilton Boston Logan Airport,Very good,"1,201"
Hilton Boston Logan Airport,Average,460
Hilton Boston Logan Airport,Poor,149
Hilton Boston Logan Airport,Terrible,86
Hampton Inn & Suites Boston Crosstown Center,Excellent,362
Hampton Inn & Suites Boston Crosstown Center,Very good,330
Hampton Inn & Suites Boston Crosstown Center,Average,166
Hampton Inn & Suites Boston Crosstown Center,Poor,68
Hampton Inn & Suites Boston Crosstown Center,Terrible,39
Element Boston Seaport,Excellent,48
Element Boston Seaport,Very good,28
Element Boston Seaport,Average,6
Element Boston Seaport,Poor,2
Element Boston Seaport,Terrible,1
Wyndham Boston Beacon Hill,Excellent,597
Wyndham Boston Beacon Hill,Very good,702
Wyndham Boston Beacon Hill,Average,365
Wyndham Boston Beacon Hill,Poor,126
Wyndham Boston Beacon Hill,Terrible,67
Chandler Inn,Excellent,285
Chandler Inn,Very good,441
Chandler Inn,Average,132
Chandler Inn,Poor,54
Chandler Inn,Terrible,32
Boston Hotel Buckminster,Excellent,324
Boston Hotel Buckminster,Very good,512
Boston Hotel Buckminster,Average,240
Boston Hotel Buckminster,Poor,100
Boston Hotel Buckminster,Terrible,99
The Midtown Hotel,Excellent,608
The Midtown Hotel,Very good,"1,268"
The Midtown Hotel,Average,644
The Midtown Hotel,Poor,210
The Midtown Hotel,Terrible,91
Copley House,Excellent,152
Copley House,Very good,195
Copley House,Average,90
Copley House,Poor,37
Copley House,Terrible,42
Aloft Boston Seaport,Excellent,58
Aloft Boston Seaport,Very good,71
Aloft Boston Seaport,Average,25
Aloft Boston Seaport,Poor,11
Aloft Boston Seaport,Terrible,8
Courtyard Boston Downtown,Excellent,37
Courtyard Boston Downtown,Very good,51
Courtyard Boston Downtown,Average,28
Courtyard Boston Downtown,Poor,8
Courtyard Boston Downtown,Terrible,1
Holiday Inn Express Hotel & Suites Boston Garden,Excellent,132
Holiday Inn Express Hotel & Suites Boston Garden,Very good,174
Holiday Inn Express Hotel & Suites Boston Garden,Average,88
Holiday Inn Express Hotel & Suites Boston Garden,Poor,36
Holiday Inn Express Hotel & Suites Boston Garden,Terrible,23
Courtyard Boston Logan Airport,Excellent,156
Courtyard Boston Logan Airport,Very good,258
Courtyard Boston Logan Airport,Average,151
Courtyard Boston Logan Airport,Poor,50
Courtyard Boston Logan Airport,Terrible,29
Beacon Hill Hotel and Bistro,Excellent,97
Beacon Hill Hotel and Bistro,Very good,63
Beacon Hill Hotel and Bistro,Average,19
Beacon Hill Hotel and Bistro,Poor,14
Beacon Hill Hotel and Bistro,Terrible,6
Courtyard Boston-South Boston,Excellent,127
Courtyard Boston-South Boston,Very good,212
Courtyard Boston-South Boston,Average,71
Courtyard Boston-South Boston,Poor,32
Courtyard Boston-South Boston,Terrible,16
Best Western Plus Boston Hotel,Excellent,242
Best Western Plus Boston Hotel,Very good,352
Best Western Plus Boston Hotel,Average,165
Best Western Plus Boston Hotel,Poor,95
Best Western Plus Boston Hotel,Terrible,58
Comfort Inn - Boston,Excellent,53
Comfort Inn - Boston,Very good,72
Comfort Inn - Boston,Average,48
Comfort Inn - Boston,Poor,17
Comfort Inn - Boston,Terrible,18
Hotel Boston,Excellent,130
Hotel Boston,Very good,184
Hotel Boston,Average,104
Hotel Boston,Poor,49
Hotel Boston,Terrible,33
Ramada Boston,Excellent,48
Ramada Boston,Very good,88
Ramada Boston,Average,88
Ramada Boston,Poor,47
Ramada Boston,Terrible,45
The Boston Common Hotel and Conference Center,Excellent,62
The Boston Common Hotel and Conference Center,Very good,204
The Boston Common Hotel and Conference Center,Average,206
The Boston Common Hotel and Conference Center,Poor,100
The Boston Common Hotel and Conference Center,Terrible,59
Found Hotel Boston Common,Excellent,5
Found Hotel Boston Common,Very good,8
Found Hotel Boston Common,Average,11
Found Hotel Boston Common,Poor,5
Found Hotel Boston Common,Terrible,5
Constitution Inn,Excellent,76
Constitution Inn,Very good,160
Constitution Inn,Average,149
Constitution Inn,Poor,99
Constitution Inn,Terrible,87
Days Hotel Boston-Harvard Fenway,Excellent,27
Days Hotel Boston-Harvard Fenway,Very good,58
Days Hotel Boston-Harvard Fenway,Average,101
Days Hotel Boston-Harvard Fenway,Poor,76
Days Hotel Boston-Harvard Fenway,Terrible,57
Americas Best Value Inn,Excellent,2
Americas Best Value Inn,Very good,4
Americas Best Value Inn,Average,8
Americas Best Value Inn,Poor,1
Americas Best Value Inn,Terrible,6
